Pickup_Latitude,Pickup_Longitude,Dropoff_Lattitude,Dropoff_Longitude,Counts
40.738,-73.988,40.75,-73.979,779
40.741,-73.986,40.75,-73.979,778
40.763,-73.97,40.756,-73.975,778
40.742,-73.983,40.749,-73.992,777
40.757,-73.99,40.761,-74.003,777
40.745,-73.998,40.75,-73.995,775
40.751,-73.994,40.759,-73.975,775
40.761,-73.975,40.754,-73.978,775
40.71,-74.015,40.75,-73.995,773
40.751,-73.994,40.756,-73.982,773
40.75,-73.991,40.756,-73.973,772
40.75,-73.991,40.758,-73.989,772
40.735,-73.99,40.749,-73.992,771
40.751,-73.991,40.744,-73.974,771
40.752,-73.976,40.751,-73.991,771
40.756,-73.991,40.759,-73.982,771
40.739,-73.987,40.749,-73.992,770
40.75,-73.995,40.751,-74.006,770
40.75,-74.003,40.75,-73.995,770
40.757,-73.972,40.751,-73.991,770
40.759,-73.986,40.768,-73.862,769
40.731,-73.989,40.749,-73.992,768
40.779,-73.955,40.779,-73.945,767
40.756,-74.002,40.75,-73.995,764
40.779,-73.955,40.776,-73.947,764
40.742,-73.975,40.751,-73.991,763
40.743,-74.008,40.75,-73.995,763
40.757,-73.99,40.764,-73.973,763
40.755,-73.987,40.75,-73.991,762
40.74,-74.003,40.75,-73.995,761
40.742,-73.994,40.749,-73.992,761
40.742,-74.004,40.75,-74.003,760
40.768,-73.962,40.777,-73.955,760
40.773,-73.96,40.763,-73.968,759
40.751,-74.002,40.75,-73.995,758
40.744,-73.984,40.751,-73.979,757
40.743,-74.007,40.75,-73.995,756
40.765,-73.966,40.765,-73.955,756
40.737,-74.005,40.75,-73.995,755
40.752,-74.004,40.75,-73.995,755
40.756,-73.99,40.76,-73.981,755
40.769,-73.863,40.759,-73.986,755
40.751,-73.994,40.765,-73.982,754
40.751,-73.994,40.767,-73.983,754
40.745,-73.985,40.749,-73.992,753
40.751,-73.994,40.759,-73.996,753
40.76,-73.976,40.754,-73.978,753
40.768,-73.982,40.754,-73.978,753
40.757,-73.972,40.749,-73.992,751
40.757,-73.99,40.761,-73.984,751
40.763,-73.974,40.756,-73.979,751
40.732,-74.001,40.749,-73.992,750
40.757,-73.986,40.751,-73.99,749
40.765,-73.964,40.779,-73.954,749
40.748,-73.989,40.753,-73.979,748
40.763,-73.982,40.774,-73.873,748
40.772,-73.983,40.75,-73.991,747
40.764,-73.973,40.748,-73.985,746
40.739,-73.996,40.749,-73.992,744
40.757,-73.99,40.762,-73.979,744
40.75,-73.972,40.751,-73.991,743
40.75,-73.991,40.755,-73.973,743
40.75,-73.992,40.743,-73.986,743
40.757,-73.99,40.76,-73.982,743
40.75,-73.992,40.742,-73.985,742
